Transaction_ID,Customer_Name,Email,Age,Join_Date,Product_Category,Price,Quantity,Discount_Percent,Total_Amount,Shipping_State,Customer_Review_Score,Is_Premium_Member
TXN-29779,dave  ,jane@yahoo.com,30,2022-06-08,Clothing,124.54,4.0,0.98,,CA,3.0,No
TXN-73397,JANE SMITH,charlie@gmail,53,Unknown,Electronics,357.9,8.0,0.09,,california,2.0,False
TXN-48589,dave  ,jane@yahoo.com,37,28-12-2020,Home_Garden,419.6,5.0,0.16,,california,5.0,Yes
TXN-68816,,,26,2020-12-23,Clothing,467.99,7.0,0.28,,CA,2.0,False
TXN-90723,Alice_Jones,bob@.com,37,Unknown,CLOTHING,348.68,5.0,0.02,,NY,5.0,True
TXN-70434, john doe ,bob@.com,49,2020-07-15,Electronics,211.6,1.0,0.02,,California,3.0,No
TXN-89796,bob,jane@yahoo.com,57,17-07-2022,Home & Garden,Free,7.0,0.23,,TX,4.0,0
TXN-89796,Alice_Jones,,76,06/12/2022,Electronics,215.05,1.0,0.07,,CA,2.0,True
TXN-56087,Charlie!,jane@yahoo.com,66,18-02-2021,Home & Garden,148.39,1.0,0.16,,N.Y.,4.0,No
TXN-46234, john doe ,bob@.com,76,08/29/2020,Clothing,266.86,5.0,0.06,,california,3.0,False
TXN-55290,bob,charlie@gmail,51,26-06-2022,Clothing,179.98,7.0,0.26,,,2.0,True
TXN-42797,bob,john@gmail.com,20,12/06/2020,,401.08,7.0,0.19,,,1.0,0
TXN-15996,JANE SMITH,john@gmail.com,23,23-08-2022,Home_Garden,272.39,10.0,0.22,,New York,3.0,1
TXN-91885,JANE SMITH,charlie@gmail,45,21-02-2021,Home_Garden,363.86,1.0,0.11,,N.Y.,3.0,
TXN-38172,bob,charlie@gmail,50,05/04/2021,elctronics ,353.56 USD,3.0,0.26,1060.68,CA,1.0,False
TXN-77081,dave  ,jane@yahoo.com,67,Pending,CLOTHING,,10.0,0.14,,CA,3.0,False
